timestamp,date;_GM;T,sta;tu;name;away_team_name;Game Week;Pre-Match PPG (Home);Pre-Match PPG (Away);home_ppg;away_ppg;home_team_goal_count;away_team_goal_count;total_goal_count;total_goals_at_half_time;home_team_goal_count_half_time;away_team_goal_count_half_time;home_team_goal_timings;away_team_goal_timings;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_first_half_cards;home_team_second_half_cards;away_team_first_half_cards;away_team_second_half_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_shots_off_target;away_team_shots_off_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;Home Team Pre-Match xG;Away Team Pre-Match xG;team_a_xg;team_b_xg;average_goals_per_match_pre_match;btts_percentage_pre_match;over_15_percentage_pre_match;over_25_percentage_pre_match;over_35_percentage_pre_match;over_45_percentage_pre_match;over_15_HT_FHG_percentage_pre_match;over_05_HT_FHG_percentage_pre_match;over_15_2HG_percentage_pre_match;over_05_2HG_percentage_pre_match;average_corners_per_match_pre_match;average_cards_per_match_pre_match;odds_ft_home_team_win;odds_ft_draw;odds_ft_away_team_win;odds_ft_over15;odds_ft_over25;odds_ft_over35;odds_ft_over45;odds_btts_yes;odds_btts_no
1692381600,Aug;18;2023;-;Wahda; Shabab;2;0;0;1,29;1;3;1;4;2;2;0;45,45'3,90'7;90'5;2;7;2;0;1;0;1;1;1;0;9;9;6;5;2;1;7;12;34;66;0;0;1,18;1,15;0;0;0;0;0;0;0;0;0;0;0;0;3,5;3,25;2,1;1,21;1,95;2,78;5,05;1,64;2,2
1692457200,Aug;19;2023;-;ha; Raed;2;0;0;1,76;1,06;1;0;1;0;0;0;57;;1;12;3;0;2;0;1;2;1;1;9;16;3;6;3;4;10;12;32;68;1,33;0;0,74;1,76;2;50;50;50;50;0;50;50;50;50;3;0;2,1;3,25;3,5;1,24;1,9;2,93;5,45;1,68;2,13
1692468000,Aug;19;2023;-;Hilal; Feiha;2;0;0;2,88;1,47;1;1;2;2;1;1;20;15;10;2;2;0;2;0;0;2;0;2;21;4;9;3;10;0;10;11;76;24;0;0;2,59;0,47;0;0;0;0;0;0;0;0;0;0;0;0;1,18;5,75;13;0;1,53;2,31;0;2,25;1,57
1692468000,Aug;19;2023;-;Ittihad; Ta'ee;2;0;0;1,71;0,53;2;0;2;0;0;0;54,9;;7;0;2;0;2;0;1;1;1;1;15;9;9;3;3;4;9;11;55;45;0;0;1,81;0,93;0;0;0;0;0;0;0;0;0;0;0;0;1,14;6,5;15;1,13;1,48;2,14;3,5;2,21;1,63
1692889200,Aug;24;2023;-;Ta'ee; Wahda;3;3;0;1,29;0,82;0;3;3;1;0;1;;34,62,90'2;1;5;1;0;1;0;1;0;0;1;7;14;4;6;2;4;19;15;51;49;0,75;2,21;0,94;1,31;1;0;0;0;0;0;0;50;0;50;10;1;1,93;3,15;3,07;1,28;1,77;3,3;5,5;1,72;2,05
1692900000,Aug;24;2023;-;Raed; Hil;3;0;3;1,12;2,76;0;4;4;1;0;1;;42,56,69,89;4;5;2;1;0;1;1;2;0;1;8;21;3;11;3;8;14;10;33;67;0,64;2,34;0,79;2,4;3,5;50;100;100;50;0;50;50;100;100;9;1;11;5,85;1,24;0;1,57;2,38;0;2,2;1,62
1692900000,Aug;24;2023;-;Ittifaq; Kheej;3;3;0;1,47;1,29;1;1;2;1;0;1;50;29;10;1;3;0;1;0;2;1;1;0;18;3;8;2;7;1;19;13;60;40;0,84;1,47;2,01;0,46;3,5;100;100;100;50;0;50;100;100;100;11;1;1,6;3,7;4,2;1,23;1,72;2,77;5,1;1,67;2,03
1692900000,Aug;24;2023;-;Ahli; Akhdoud;3;3;1;2,18;0,82;1;0;1;0;0;0;90'6;;3;2;0;0;2;0;0;0;1;1;15;7;2;2;6;5;15;16;69;31;1,68;0,96;1,2;0,75;3;100;100;50;50;0;50;100;50;100;5;3;1,15;6,5;17;1,2;1,62;2,54;4,48;2,4;1,52
1692900000,Aug;24;2023;-;Riyadh; Ittihad;3;3;3;1,12;1,47;0;4;4;3;0;3;;17,25,45'10,90'3;4;3;3;0;1;0;1;2;0;1;11;18;5;9;4;3;9;10;43;57;0,99;2,1;1,26;1,74;2;0;50;50;0;0;0;50;50;50;13;2;12,9;6;1,21;1,22;1,7;2,62;4,5;2,38;1,55
1692975600,Aug;25;2023;-;Feiha; Hazm;3;3;0;1,12;0,59;0;0;0;0;0;0;;;5;3;1;0;2;0;0;1;2;0;8;6;2;2;3;3;6;14;52;48;0,99;1,28;0,84;0,74;4;100;100;100;100;0;100;100;100;100;11;5;2;3,6;3,3;1,27;1,72;3,2;6,05;1,62;2,2
