timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1722618000,Aug 02 2024 - 5:00pm,complete,N/A,1860 München,Saarbrucken,Konrad Oldhfer,1,0.00,0.00,0.78,1.70,0,1,1,0,0,0,"","71",5,4,1,0,2,0,1,0,1,1,12,11,6,5,2,4,19,11,53,47,0.00,0.00,1.11,1.13,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.65,3.25,2.30,1.25,1.82,3.00,5.20,1.63,2.20,Städtisches Stadion an der Grünwalder Straße (München)
1722686400,Aug 03 2024 - 12:00pm,complete,N/A,Rot-Weiss Essen,Alemannia Aachen,Assad Nouhoum,1,0.00,0.00,1.20,1.11,1,2,3,2,1,1,"36","28,73",5,3,2,0,3,0,0,2,0,3,4,10,3,3,1,7,6,19,50,50,0.00,0.00,0.80,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.82,3.50,3.85,1.30,1.87,3.30,6.20,1.75,2.00,Stadion an der Hafenstraße (Essen)
1722686400,Aug 03 2024 - 12:00pm,complete,N/A,Erzgebirge Aue,Hannover 96 II,Leonidas Exuzidis,1,0.00,0.00,1.60,1.10,2,1,3,3,2,1,"9,22","15",5,2,3,0,4,0,2,1,1,3,12,12,4,5,8,7,12,21,50,50,0.00,0.00,1.46,1.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.60,3.85,4.80,1.28,1.87,3.30,6.50,1.83,1.90,Erzgebirgsstadion (Aue)
1722686400,Aug 03 2024 - 12:00pm,complete,N/A,Borussia Dortmund II,Unterhaching,N/A,1,0.00,0.00,1.80,0.22,3,0,3,0,0,0,"86,89,90'4","",1,6,2,0,2,1,0,2,0,3,10,11,5,7,5,4,12,11,49,51,0.00,0.00,1.36,1.57,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.96,3.58,3.47,1.22,1.71,2.90,5.00,1.65,2.20,Stadion Rote Erde (Dortmund)
1722686400,Aug 03 2024 - 12:00pm,complete,N/A,Verl,Wehen Wiesbaden,Luca Jürgensen,1,0.00,0.00,1.20,1.20,2,2,4,2,1,1,"29,53","9,86",3,2,0,0,3,0,0,0,2,1,18,11,10,7,8,4,10,14,53,47,0.00,0.00,2.25,1.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.48,2.30,1.22,1.72,2.90,5.50,1.60,2.25,SPORTCLUB Arena (Verl)
1722686400,Aug 03 2024 - 12:00pm,complete,N/A,Sandhausen,Osnabrück,Martin Speckner,1,0.00,0.00,1.60,0.30,1,0,1,0,0,0,"90'3","",4,5,1,0,0,0,0,1,0,0,11,16,5,4,6,12,11,7,50,50,0.00,0.00,1.46,1.69,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,3.40,3.00,1.22,1.70,2.85,5.50,1.62,2.20,GP Stadion am Hardtwald (Sandhausen)
1722695400,Aug 03 2024 - 2:30pm,complete,N/A,Hansa Rostock,Stuttgart II,Timon Oliver Schulz,1,0.00,0.00,2.10,0.40,1,1,2,1,1,0,"36","70",6,3,3,0,4,0,1,2,1,3,14,7,6,2,8,5,11,10,53,47,0.00,0.00,1.76,0.86,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.57,4.00,4.75,1.20,1.65,2.70,4.80,1.70,2.10,Ostseestadion (Rostock)
1722771000,Aug 04 2024 - 11:30am,complete,N/A,Viktoria Köln,Dynamo Dresden,Florian Badstübner,1,0.00,0.00,1.90,1.90,1,2,3,0,0,0,"82","47,78",8,6,2,0,0,0,1,1,0,0,10,17,7,11,3,6,7,9,44,56,0.00,0.00,1.54,2.38,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.30,3.85,1.67,1.22,1.64,2.80,4.80,1.73,2.00,Sportpark Höhenberg (Köln)
1722781800,Aug 04 2024 - 2:30pm,complete,N/A,Energie Cottbus,Arminia Bielefeld,Tom Bauer,1,0.00,0.00,2.22,1.30,1,2,3,1,1,0,"42","68,90'2",6,11,2,0,6,0,2,0,3,3,10,16,6,9,4,7,16,13,50,50,0.00,0.00,1.37,2.32,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.04,3.37,2.27,1.30,1.92,3.40,6.20,1.72,2.05,LEAG Energie Stadion (Cottbus)
1722792600,Aug 04 2024 - 5:30pm,complete,N/A,Ingolstadt,Waldhof Mannheim,Felix Weller,1,0.00,0.00,1.90,0.70,2,1,3,1,1,0,"8,70","72",8,7,1,0,3,1,1,0,0,4,12,17,5,5,7,12,12,12,50,50,0.00,0.00,1.60,1.92,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.00,3.78,3.29,1.15,1.57,2.38,4.15,1.53,2.38,Audi-Sportpark (Ingolstadt)
