timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1710054000,Mar 10 2024 - 7:00am,complete,N/A,FC Seoul,Incheon United,Jong-Hyeok Kim,2,0.00,0.00,1.67,1.32,0,0,0,0,0,0,"","",2,6,2,0,1,0,1,1,0,1,7,18,0,9,5,8,13,7,53,47,0.00,0.00,0.94,2.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.35,3.45,1.33,1.95,3.60,7.00,1.77,1.90,Seoul World Cup Stadium (Seoul)
1710055800,Mar 10 2024 - 7:30am,complete,N/A,Gwangju,Gangwon,Hyun-Jae Choi,2,3.00,0.00,1.50,1.21,4,2,6,1,0,1,"49,62,74,90'8","2,67",5,4,2,0,3,0,0,2,1,2,19,19,7,7,7,8,11,13,48,52,1.56,0.00,1.79,1.86,1.00,0,50,0,0,0,0,50,0,50,8.00,4.00,2.05,3.10,4.20,1.50,2.37,4.20,9.50,2.10,1.62,Gwangju Football Stadium (Gwangju)
1710565200,Mar 16 2024 - 5:00am,complete,N/A,Daejeon Citizen,Gangwon,Yong-Jun Shin,3,0.00,0.00,1.53,1.21,1,1,2,0,0,0,"87","62",2,0,1,0,1,0,1,0,0,1,9,12,5,6,4,5,16,10,45,55,0.00,1.86,1.56,1.59,3.00,50,50,50,50,50,0,50,50,50,4.00,3.00,2.25,3.05,3.15,1.42,2.10,4.20,8.50,1.85,1.83,Daejeon World Cup Stadium (Daejeon)
1710574200,Mar 16 2024 - 7:30am,complete,N/A,Daegu,Suwon,Hee-Gon Kim,3,0.00,3.00,1.21,1.30,1,1,2,1,1,0,"25","90'5",4,6,1,0,1,0,0,1,1,0,16,27,10,8,5,12,8,4,38,62,1.71,0.80,2.05,2.60,1.00,0,0,0,0,0,0,0,0,100,5.00,4.00,2.10,3.20,3.30,1.36,2.05,3.75,8.60,1.85,1.85,DGB Daegu Bank Park (Daegu)
1710574200,Mar 16 2024 - 7:30am,complete,N/A,FC Seoul,Jeju United,N/A,3,1.00,1.00,1.67,0.79,2,0,2,2,2,0,"20,24","",5,2,6,0,2,1,4,2,2,1,9,9,4,2,4,6,16,15,54,46,0.94,1.67,1.31,1.03,1.00,50,50,0,0,0,50,50,0,0,6.00,3.00,2.30,3.20,2.85,1.35,2.11,3.70,7.50,1.80,1.85,Seoul World Cup Stadium (Seoul)
1710651600,Mar 17 2024 - 5:00am,complete,N/A,Pohang Steelers,Gwangju,Hyung-Jin Ko,3,3.00,0.00,1.45,0.94,1,0,1,0,0,0,"90'4","",2,1,4,0,3,0,2,2,0,3,11,7,5,3,5,3,11,14,50,50,1.55,0.00,1.24,0.78,2.00,50,50,50,50,0,0,50,50,50,3.00,2.00,2.63,3.10,2.70,1.38,2.20,4.00,8.50,1.87,1.87,Steelyard Stadium (Pohang)
1710651600,Mar 17 2024 - 5:00am,complete,N/A,Sangju Sangmu,Jeonbuk Motors,Woo-Sung Kim,3,0.00,1.00,1.95,0.84,1,0,1,1,1,0,"25","",1,9,1,0,0,0,1,0,0,0,6,14,2,3,3,8,8,15,43,57,1.80,1.43,0.76,1.51,3.50,100,100,50,50,50,50,50,100,100,13.00,3.00,3.13,3.25,2.30,1.35,2.05,3.70,7.50,1.85,1.83,Gimcheon Stadium (Gimcheon)
1710660600,Mar 17 2024 - 7:30am,complete,N/A,Ulsan,Incheon United,Byung-Jin Park,3,3.00,1.00,2.37,1.32,3,3,6,2,1,1,"33,54,63","39,49,75",5,1,1,0,0,0,1,0,0,0,22,17,11,6,7,8,9,17,57,43,1.38,2.34,2.50,1.60,0.50,0,0,0,0,0,0,0,0,50,10.00,1.00,1.90,3.30,3.45,1.30,2.02,3.25,6.00,1.85,1.85,Ulsan Munsu Football Stadium (Ulsan)
1711774800,Mar 30 2024 - 5:00am,complete,N/A,Jeonbuk Motors,Ulsan,Dong-Jun Lee,4,1.00,3.00,1.37,1.42,2,2,4,3,1,2,"45'2,70","22,40",4,6,2,0,2,0,1,1,1,1,6,9,3,6,3,3,12,8,50,50,2.28,1.29,1.14,1.51,3.50,100,100,50,50,50,50,100,50,100,8.00,3.00,2.43,3.35,2.72,1.36,2.16,3.50,7.00,1.83,1.83,Jeonju World Cup Stadium (Jeonju)
1711774800,Mar 30 2024 - 5:00am,complete,N/A,Incheon United,Daejeon Citizen,Yong-Woo Kim,4,0.00,0.50,0.74,1.00,2,0,2,1,1,0,"38,47","",3,4,2,1,2,0,0,3,1,1,10,15,5,4,5,11,16,11,50,50,2.10,1.38,1.44,1.67,2.00,50,50,25,25,0,25,50,25,100,12.00,6.00,2.04,3.50,3.30,1.30,1.99,3.40,6.50,1.80,1.91,Sungui Arena Park (Incheon)
1711783800,Mar 30 2024 - 7:30am,complete,N/A,Jeju United,Pohang Steelers,Jong-Hyeok Kim,4,3.00,0.00,1.79,1.33,0,2,2,0,0,0,"","90'3,90'7",4,6,1,0,0,0,0,1,0,0,12,18,6,5,6,13,10,2,50,50,1.55,0.73,1.37,1.91,2.50,50,50,50,50,0,50,50,50,100,12.00,4.00,2.36,3.25,2.85,1.36,2.10,3.75,8.00,1.83,1.90,Jeju World Cup Stadium (Seogwipo)
1711783800,Mar 30 2024 - 7:30am,complete,N/A,Suwon,Sangju Sangmu,N/A,4,1.00,3.00,1.50,1.37,1,4,5,3,0,3,"89","8,23,31,90'4",6,2,1,0,2,0,0,1,0,2,16,8,5,6,11,2,18,16,50,50,2.90,1.17,2.05,1.29,1.50,50,50,0,0,0,0,0,50,100,12.00,3.00,2.36,3.30,2.84,1.32,1.99,3.50,6.75,1.82,1.92,Suwon Sports Complex (Suwon)
1711861200,Mar 31 2024 - 5:00am,complete,N/A,Gangwon,FC Seoul,Hee-Gon Kim,4,1.00,0.00,2.16,1.40,1,1,2,0,0,0,"86","72",5,0,1,1,2,1,1,1,1,2,16,6,7,4,9,2,12,16,50,50,1.96,1.30,2.07,0.98,2.00,50,100,0,0,0,50,100,0,50,11.00,5.00,2.62,3.20,2.62,1.38,2.23,4.00,8.50,1.87,1.87,Chuncheon Songam Stadium (Chuncheon)
1711870200,Mar 31 2024 - 7:30am,complete,N/A,Gwangju,Daegu,Sang-Hyeop Chae,4,3.00,0.00,1.50,0.89,1,2,3,2,1,1,"25","45'5,77",10,4,1,0,0,0,1,0,0,0,15,11,6,5,9,6,12,7,50,50,1.68,1.67,2.17,1.42,4.00,75,100,75,75,25,0,100,75,100,8.50,4.00,2.20,3.25,3.20,1.42,2.28,4.50,8.50,1.95,1.78,Gwangju Football Stadium (Gwangju)
1712053800,Apr 02 2024 - 10:30am,complete,N/A,Pohang Steelers,Suwon,Yong-Jun Shin,5,3.00,2.00,1.45,1.30,1,1,2,1,1,0,"45","53",14,3,0,0,0,0,0,0,0,0,21,13,9,3,12,10,10,8,66,34,1.39,1.70,2.72,1.35,2.00,50,50,25,25,0,0,50,25,100,6.50,5.00,1.73,3.80,4.20,1.15,1.78,2.15,3.90,1.67,2.10,Steelyard Stadium (Pohang)
1712053800,Apr 02 2024 - 10:30am,complete,N/A,Daejeon Citizen,Ulsan,Hyung-Jin Ko,5,1.00,2.00,1.53,1.42,2,0,2,0,0,0,"49,60","",2,7,4,1,3,0,2,3,1,2,7,12,3,6,4,6,14,10,50,50,1.56,1.40,0.93,1.76,3.25,100,100,50,50,25,50,50,75,100,5.00,2.50,4.10,3.50,1.85,1.22,1.75,2.75,5.00,1.62,2.20,Daejeon World Cup Stadium (Daejeon)
1712140200,Apr 03 2024 - 10:30am,complete,N/A,Gwangju,Incheon United,N/A,5,2.00,1.00,1.50,1.32,2,3,5,1,0,1,"67,78","33,50,90'7",2,1,1,1,0,0,0,2,0,0,16,8,6,6,10,2,10,8,50,50,1.84,1.97,2.55,1.24,3.34,59,75,59,42,42,42,75,42,75,11.17,2.83,2.15,2.98,3.00,1.40,2.15,4.23,7.60,1.87,1.83,Gwangju Football Stadium (Gwangju)
1712140200,Apr 03 2024 - 10:30am,complete,N/A,FC Seoul,Sangju Sangmu,Dong-Sik Jeong,5,2.00,3.00,1.67,1.37,5,1,6,4,4,0,"16,34,39,45'2,80","52",1,8,3,0,0,0,1,2,0,0,11,12,8,6,3,6,15,8,50,50,1.12,1.23,1.58,1.80,2.00,25,50,25,25,25,50,50,25,50,6.00,6.50,2.05,3.05,3.15,1.35,2.07,3.55,7.00,1.75,1.93,Seoul World Cup Stadium (Seoul)
1712140200,Apr 03 2024 - 10:30am,complete,N/A,Jeju United,Jeonbuk Motors,Woo-Sung Kim,5,1.50,0.50,1.79,0.84,2,0,2,1,1,0,"29,90'8","",8,11,3,0,1,1,1,2,0,2,15,12,9,4,6,8,11,14,50,50,1.46,1.47,2.17,1.83,2.25,50,75,25,25,0,25,50,75,75,13.50,1.50,3.10,3.00,2.10,1.30,2.08,3.20,6.25,1.65,2.05,Jeju World Cup Stadium (Seogwipo)
1712140200,Apr 03 2024 - 10:30am,complete,N/A,Gangwon,Daegu,Byung-Jin Park,5,1.00,1.50,2.16,0.89,3,0,3,1,1,0,"14,65,90'1","",3,3,2,0,2,0,0,2,0,2,14,11,7,0,7,11,17,17,50,50,2.01,1.54,1.73,1.13,2.75,100,100,50,25,0,50,75,50,75,8.50,2.50,2.48,2.97,2.55,1.43,2.10,4.47,8.00,1.85,1.80,Chuncheon Songam Stadium (Chuncheon)
