timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1661443500,Aug 25 2022 - 4:05pm,complete,N/A,Al Feiha,Dhamk,N/A,1,0.00,0.00,1.13,1.07,0,1,1,0,0,0,"","51",3,2,0,0,1,0,0,0,1,0,9,9,3,5,6,4,8,6,57,43,0.00,0.00,1.15,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.22,3.16,3.14,1.35,2.15,3.65,7.75,1.92,1.84,Al Majma'ah Sports City Stadium (Al Majma'ah)
1661450400,Aug 25 2022 - 6:00pm,complete,N/A,Al Khaleej,Al Hilal,Majed Al Shamrani,1,0.00,0.00,1.33,1.87,0,2,2,2,0,2,"","3,25",4,5,2,0,1,0,0,2,0,1,11,13,4,4,7,9,10,11,35,65,0.00,0.00,1.25,1.39,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.30,4.70,1.36,0.00,1.69,2.40,0.00,1.83,1.83,Prince Mohamed bin Fahd Stadium (Ad Dammām (Dammam))
1661528700,Aug 26 2022 - 3:45pm,complete,N/A,Al Ittifaq,Al Ta'ee,Sami Al Jires,1,0.00,0.00,1.60,0.80,1,2,3,2,1,1,"22","6,65",4,6,1,0,2,0,1,0,1,1,9,9,5,7,3,2,11,11,53,47,0.00,0.00,1.29,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.35,3.35,1.23,1.88,2.95,5.75,1.74,2.04,Prince Mohamed bin Fahd Stadium (Ad Dammām (Dammam))
1661528700,Aug 26 2022 - 3:45pm,complete,N/A,Al Adalh,Al Ittihad,Slavko Vinčić,1,0.00,0.00,1.13,2.27,0,3,3,1,0,1,"","15,90,90'5",5,5,2,0,1,0,0,2,0,1,6,17,0,9,6,8,12,12,57,43,0.00,0.00,0.76,2.03,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.20,3.90,1.59,1.17,1.48,2.40,3.75,1.51,2.40,Prince Abdullah bin Jalawi Sports City Stadium (Al-Hasa)
1661536800,Aug 26 2022 - 6:00pm,complete,N/A,Al Shabab,Al Batin,Faisal Alblwi,1,0.00,0.00,2.13,0.13,3,0,3,1,1,0,"22,48,75","",8,0,0,0,1,0,0,0,0,1,15,2,10,0,5,2,9,4,81,19,0.00,0.00,2.30,0.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.14,7.00,9.75,1.16,1.59,2.15,3.50,2.20,1.62,Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
1661615100,Aug 27 2022 - 3:45pm,complete,N/A,Al Fateh,Al Taawon,Khaled Al Teris,1,0.00,0.00,1.40,2.00,0,2,2,1,0,1,"","45'3,57",9,4,3,0,3,0,0,3,0,3,13,8,7,4,6,4,14,14,48,52,0.00,0.00,1.77,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.52,2.22,1.20,1.67,2.85,5.40,1.57,2.34,Prince Abdullah bin Jalawi Sports City Stadium (Al-Hasa)
1661623200,Aug 27 2022 - 6:00pm,complete,N/A,Abha,Al Raed,Sultan Al-Harbi,1,0.00,0.00,1.60,1.07,2,1,3,1,0,1,"51,60","34",7,8,2,0,1,0,0,2,0,1,13,10,6,3,7,7,14,11,50,50,0.00,0.00,1.64,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.47,3.13,2.53,1.25,1.81,3.20,6.25,1.67,2.14,Prince Sultan bin Abdulaziz Sports City Stadium (Abha)
1661623200,Aug 27 2022 - 6:00pm,complete,N/A,Al Nassr,Al Wahda,Mohammed Al Hoaish,1,0.00,0.00,2.60,1.00,1,0,1,1,1,0,"3","",4,2,1,0,1,0,1,0,1,0,9,8,3,3,3,2,9,11,60,40,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.41,4.04,7.08,1.10,1.36,1.88,2.92,1.57,2.34,Mrsool Park (Ar-Riyāḍ (Riyadh))
1661961300,Aug 31 2022 - 3:55pm,complete,N/A,Al Batin,Al Fateh,Ahmad Al Rumaikhani,2,0.00,0.00,1.20,1.47,0,5,5,2,0,2,"","17,41,62,70,90'2",0,11,2,1,2,0,2,1,1,1,2,15,2,9,0,6,11,16,27,73,0.00,0.00,0.36,2.12,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.10,4.30,1.38,1.19,1.68,2.53,4.40,1.78,1.96,Al-Batin FC Stadium (Hafar Al-Batin)
1661968800,Aug 31 2022 - 6:00pm,complete,N/A,Al Hilal,Al Feiha,Sandro Schärer,2,0.00,0.00,2.07,1.07,2,0,2,0,0,0,"69,86","",11,5,2,0,2,0,1,1,1,1,12,5,4,0,8,5,11,12,67,33,0.00,0.00,1.72,0.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.26,5.00,8.00,1.21,1.64,2.74,4.93,2.20,1.64,Prince Faisal bin Fahd Stadium (Ar-Riyāḍ (Riyadh))
